,Questions,Ratings
143580,Quietness - star rating,5
143585,Overall hospital rating - star rating,4
143590,Recommend hospital - star rating,4
143591,Summary star rating,4
143689,Nurse communication - star rating,4
143703,Doctor communication - star rating,4
143717,Staff responsiveness - star rating,3
143728,Communication about medicines - star rating,3
143738,Discharge information - star rating,4
143747,Care transition - star rating,3
143761,Cleanliness - star rating,4
143766,Quietness - star rating,4
143771,Overall hospital rating - star rating,4
143776,Recommend hospital - star rating,4
143777,Summary star rating,4
143782,Nurse communication - star rating,4
143796,Doctor communication - star rating,5
143810,Staff responsiveness - star rating,4
143821,Communication about medicines - star rating,3
143831,Discharge information - star rating,5
143840,Care transition - star rating,4
143854,Cleanliness - star rating,5
143859,Quietness - star rating,5
143864,Overall hospital rating - star rating,5
143869,Recommend hospital - star rating,4
143870,Summary star rating,4
143875,Nurse communication - star rating,2
143889,Doctor communication - star rating,4
143903,Staff responsiveness - star rating,3
143914,Communication about medicines - star rating,2
143924,Discharge information - star rating,3
143933,Care transition - star rating,2
143947,Cleanliness - star rating,4
143952,Quietness - star rating,4
143957,Overall hospital rating - star rating,2
143962,Recommend hospital - star rating,3
143963,Summary star rating,3
144061,Nurse communication - star rating,5
144075,Doctor communication - star rating,5
144089,Staff responsiveness - star rating,4
144100,Communication about medicines - star rating,4
144110,Discharge information - star rating,4
144119,Care transition - star rating,4
144133,Cleanliness - star rating,4
144138,Quietness - star rating,4
144143,Overall hospital rating - star rating,4
144148,Recommend hospital - star rating,4
144149,Summary star rating,4
144433,Nurse communication - star rating,5
144447,Doctor communication - star rating,4
144461,Staff responsiveness - star rating,4
144472,Communication about medicines - star rating,5
144482,Discharge information - star rating,5
144491,Care transition - star rating,4
144505,Cleanliness - star rating,5
144510,Quietness - star rating,5
144515,Overall hospital rating - star rating,5
144520,Recommend hospital - star rating,5
144521,Summary star rating,5
144526,Nurse communication - star rating,4
144540,Doctor communication - star rating,3
144554,Staff responsiveness - star rating,5
144565,Communication about medicines - star rating,4
144575,Discharge information - star rating,4
144584,Care transition - star rating,4
144598,Cleanliness - star rating,5
144603,Quietness - star rating,3
144608,Overall hospital rating - star rating,5
144613,Recommend hospital - star rating,4
144614,Summary star rating,4
144805,Nurse communication - star rating,5
144819,Doctor communication - star rating,5
144833,Staff responsiveness - star rating,4
144844,Communication about medicines - star rating,4
144854,Discharge information - star rating,4
144863,Care transition - star rating,4
144877,Cleanliness - star rating,5
144882,Quietness - star rating,4
144887,Overall hospital rating - star rating,4
144892,Recommend hospital - star rating,4
144893,Summary star rating,4
145084,Nurse communication - star rating,3
145098,Doctor communication - star rating,4
145112,Staff responsiveness - star rating,3
145123,Communication about medicines - star rating,4
145133,Discharge information - star rating,3
145142,Care transition - star rating,3
145156,Cleanliness - star rating,5
145161,Quietness - star rating,3
145166,Overall hospital rating - star rating,3
145171,Recommend hospital - star rating,3
145172,Summary star rating,3
145177,Nurse communication - star rating,3
145191,Doctor communication - star rating,3
145205,Staff responsiveness - star rating,4
145216,Communication about medicines - star rating,3
145226,Discharge information - star rating,2
145235,Care transition - star rating,3
145249,Cleanliness - star rating,4
145254,Quietness - star rating,4
145259,Overall hospital rating - star rating,3
145264,Recommend hospital - star rating,3
145265,Summary star rating,3
145270,Nurse communication - star rating,3
145284,Doctor communication - star rating,3
145298,Staff responsiveness - star rating,3
145309,Communication about medicines - star rating,3
145319,Discharge information - star rating,3
145328,Care transition - star rating,3
145342,Cleanliness - star rating,3
145347,Quietness - star rating,3
145352,Overall hospital rating - star rating,3
145357,Recommend hospital - star rating,4
145358,Summary star rating,3
145363,Nurse communication - star rating,4
145377,Doctor communication - star rating,4
145391,Staff responsiveness - star rating,3
145402,Communication about medicines - star rating,3
145412,Discharge information - star rating,4
145421,Care transition - star rating,3
145435,Cleanliness - star rating,4
145440,Quietness - star rating,4
145445,Overall hospital rating - star rating,4
145450,Recommend hospital - star rating,4
145451,Summary star rating,4
145456,Nurse communication - star rating,4
145470,Doctor communication - star rating,3
145484,Staff responsiveness - star rating,3
145495,Communication about medicines - star rating,3
145505,Discharge information - star rating,2
145514,Care transition - star rating,3
145528,Cleanliness - star rating,3
145533,Quietness - star rating,4
145538,Overall hospital rating - star rating,3
145543,Recommend hospital - star rating,3
145544,Summary star rating,3
145549,Nurse communication - star rating,3
145563,Doctor communication - star rating,3
145577,Staff responsiveness - star rating,3
145588,Communication about medicines - star rating,3
145598,Discharge information - star rating,3
145607,Care transition - star rating,3
145621,Cleanliness - star rating,4
145626,Quietness - star rating,3
145631,Overall hospital rating - star rating,4
145636,Recommend hospital - star rating,4
145637,Summary star rating,3
145642,Nurse communication - star rating,3
145656,Doctor communication - star rating,3
145670,Staff responsiveness - star rating,3
145681,Communication about medicines - star rating,2
145691,Discharge information - star rating,3
145700,Care transition - star rating,2
145714,Cleanliness - star rating,4
145719,Quietness - star rating,4
145724,Overall hospital rating - star rating,3
145729,Recommend hospital - star rating,2
145730,Summary star rating,3
145735,Nurse communication - star rating,2
145749,Doctor communication - star rating,3
145763,Staff responsiveness - star rating,3
145774,Communication about medicines - star rating,2
145784,Discharge information - star rating,3
145793,Care transition - star rating,2
145807,Cleanliness - star rating,3
145812,Quietness - star rating,2
145817,Overall hospital rating - star rating,2
145822,Recommend hospital - star rating,2
145823,Summary star rating,2
145828,Nurse communication - star rating,2
145842,Doctor communication - star rating,3
145856,Staff responsiveness - star rating,2
145867,Communication about medicines - star rating,3
145877,Discharge information - star rating,3
145886,Care transition - star rating,2
145900,Cleanliness - star rating,4
145905,Quietness - star rating,4
145910,Overall hospital rating - star rating,3
145915,Recommend hospital - star rating,3
145916,Summary star rating,3
145921,Nurse communication - star rating,4
145935,Doctor communication - star rating,4
145949,Staff responsiveness - star rating,4
145960,Communication about medicines - star rating,4
145970,Discharge information - star rating,4
145979,Care transition - star rating,4
145993,Cleanliness - star rating,5
145998,Quietness - star rating,4
146003,Overall hospital rating - star rating,4
146008,Recommend hospital - star rating,4
146009,Summary star rating,4
146014,Nurse communication - star rating,4
146028,Doctor communication - star rating,4
146042,Staff responsiveness - star rating,3
146053,Communication about medicines - star rating,4
146063,Discharge information - star rating,4
146072,Care transition - star rating,3
146086,Cleanliness - star rating,4
146091,Quietness - star rating,4
146096,Overall hospital rating - star rating,4
146101,Recommend hospital - star rating,4
146102,Summary star rating,4
